MJD-2450000	SCFL	SCER
5286.5	17631.74	6.9897
5286.5	17630.34	6.9896
5286.5	17632.33	6.9895
5286.5	17635.80	6.9895
5286.5	17618.62	6.9894
5286.5	17631.60	6.9893
5286.5	17622.43	6.9892
5286.5	17659.24	6.9891
5286.5	17698.65	6.9890
5286.5	17635.65	6.9889
5286.5	17637.43	6.9888
5286.7	17649.34	6.9887
5286.7	17640.49	6.9887
5286.7	17636.41	6.9886
5286.7	17639.75	6.9885
5286.7	17634.61	6.9884
5286.7	17597.44	6.9883
5286.7	17610.03	6.9882
5286.7	17617.78	6.9881
5286.7	17627.83	6.9881
5286.7	17636.48	6.9880
5286.7	17650.84	6.9880
5286.7	17623.02	6.9880
5287.0	17667.28	6.9879
5287.0	17631.10	6.9878
5287.0	17632.17	6.9878
5287.0	17635.40	6.9878
5287.0	17636.36	6.9877
5287.0	17638.77	6.9877
5287.0	17626.86	6.9876
5287.0	17632.29	6.9876
5287.0	17643.11	6.9876
5287.0	17638.37	6.9875
5287.0	17752.86	6.9875
5287.3	17629.62	6.9874
5287.3	17624.96	6.9874
5287.3	17617.25	6.9874
5287.3	17634.67	6.9873
5287.3	17618.78	6.9873
5287.3	17650.96	6.9872
5287.3	17640.53	6.9872
5287.3	17633.10	6.9872
5287.3	17625.74	6.9872
5287.3	17626.56	6.9872
5287.3	17627.32	6.9871
5287.5	17612.34	6.9871
5287.5	17609.94	6.9871
5287.5	17611.38	6.9871
5287.5	17607.29	6.9871
5287.5	17614.79	6.9871
5287.5	17642.55	6.9871
5287.5	17635.36	6.9871
5287.5	17615.32	6.9871
5287.5	17634.41	6.9870
5287.5	17614.93	6.9870
5287.5	17611.32	6.9870
5287.7	17639.77	6.9870
5287.7	17608.08	6.9870
5287.7	17607.52	6.9870
5287.7	17606.25	6.9870
5287.7	17598.75	6.9870
5287.7	17611.58	6.9870
5287.7	17602.69	6.9870
5287.7	17617.66	6.9870
5287.7	17616.42	6.9868
5287.7	17615.91	6.9867
5287.7	17612.51	6.9866
5287.7	17605.94	6.9865
5287.7	17622.55	6.9864
5288.0	17614.80	6.9863
5288.0	17614.25	6.9861
5288.0	17584.96	6.9860
5288.0	17605.85	6.9859
5288.0	17608.62	6.9858
5288.0	17619.70	6.9857
5288.0	17602.31	6.9855
5288.0	17598.13	6.9854
5288.0	17609.26	6.9853
5288.0	17589.32	6.9852
5288.0	17589.53	6.9851
5288.0	17606.60	6.9850
5288.3	17615.51	6.9848
5288.3	17619.12	6.9847
5288.3	17611.95	6.9846
5288.3	17598.35	6.9845
5288.3	17610.32	6.9843
5288.3	17602.95	6.9841
5288.3	17588.32	6.9841
5288.3	17599.63	6.9840
5288.3	17594.40	6.9840
5288.3	17597.32	6.9839
5288.3	17603.35	6.9839
5288.5	17582.91	6.9838
5288.5	17592.05	6.9838
5288.5	17604.54	6.9837
5288.5	17588.82	6.9837
5288.5	17584.57	6.9836
5288.5	17586.10	6.9835
5288.5	17590.85	6.9835
5288.5	17580.58	6.9834
5288.5	17577.77	6.9834
5288.5	17609.33	6.9833
5288.5	17576.18	6.9833
5288.8	17585.97	6.9832
5288.8	17561.78	6.9831
5288.8	17579.57	6.9831
5288.8	17577.13	6.9830
5288.8	17561.51	6.9829
5288.8	17579.29	6.9829
5288.8	17588.87	6.9828
5288.8	17576.52	6.9828
5288.8	17582.98	6.9828
5288.8	17579.94	6.9828
5288.8	17566.40	6.9827
5288.8	17564.16	6.9827
5288.8	17577.85	6.9827
5289.0	17564.69	6.9827
5289.0	17571.19	6.9827
5289.0	17573.78	6.9826
5289.0	17565.83	6.9826
5289.0	17579.19	6.9826
5289.0	17583.50	6.9826
5289.0	17583.53	6.9825
5289.0	17591.23	6.9825
5289.0	17577.86	6.9825
5289.0	17594.96	6.9825
5289.0	17585.06	6.9824
5289.2	17584.51	6.9824
5289.2	17593.76	6.9824
5289.2	17589.33	6.9824
5289.2	17577.79	6.9823
5289.2	17602.94	6.9823
5289.2	17601.73	6.9823
5289.2	17592.92	6.9823
5289.2	17597.08	6.9823
5289.2	17589.84	6.9823
5289.2	17587.28	6.9823
5289.2	17602.42	6.9823
5289.2	17593.32	6.9823
5289.5	17601.44	6.9823
5289.5	17573.57	6.9823
5289.5	17591.18	6.9823
5289.5	17607.50	6.9823
5289.5	17615.11	6.9823
5289.5	17620.61	6.9823
5289.5	17613.50	6.9823
5289.5	17602.24	6.9823
5289.5	17598.09	6.9823
5289.5	17609.18	6.9823
5289.5	17599.86	6.9823
5289.5	17603.29	6.9823
5289.7	17629.52	6.9823
5289.7	17623.75	6.9823
5289.7	17601.16	6.9823
5289.7	17618.26	6.9823
5289.7	17601.53	6.9823
5289.7	17604.84	6.9823
5289.7	17614.74	6.9822
5289.7	17612.97	6.9821
5289.7	17617.59	6.9820
5289.7	17616.99	6.9819
5289.7	17612.65	6.9817
5289.7	17599.74	6.9816
5289.7	17586.15	6.9815
5290.0	17608.37	6.9813
5290.0	17606.44	6.9811
5290.0	17603.52	6.9810
5290.0	17612.11	6.9809
5290.0	17620.53	6.9808
5290.0	17595.09	6.9807
5290.0	17606.56	6.9806
5290.0	17589.52	6.9804
5290.0	17589.73	6.9803
5290.0	17598.20	6.9802
5290.0	17609.69	6.9801
5290.2	17596.12	6.9800
5290.2	17572.96	6.9799
5290.2	17586.58	6.9796
5290.2	17582.03	6.9795
5290.2	17577.93	6.9796
5290.2	17576.64	6.9796
5290.2	17570.66	6.9797
5290.2	17559.34	6.9798
5290.2	17581.09	6.9798
5290.2	17575.40	6.9799
5290.5	17580.47	6.9799
5290.5	17565.03	6.9800
5290.5	17585.69	6.9800
5290.5	17563.80	6.9801
5290.5	17571.71	6.9801
5290.5	17554.32	6.9802
5290.5	17567.57	6.9803
5290.5	17554.54	6.9803
5290.5	17549.24	6.9804
5290.5	17560.83	6.9804
5290.5	17568.90	6.9805
5290.5	17565.13	6.9805
5290.8	17565.80	6.9806
5290.8	17581.91	6.9806
5290.8	17570.94	6.9807
5290.8	17550.80	6.9807
5290.8	17575.72	6.9808
5290.8	17548.64	6.9806
5290.8	17567.93	6.9804
5290.8	17565.00	6.9802
5290.8	17571.30	6.9800
5290.8	17557.40	6.9798
5290.8	17559.82	6.9796
5290.8	17551.41	6.9794
5291.0	17538.86	6.9792
5291.0	17546.66	6.9790
5291.0	17566.79	6.9788
5291.0	17528.41	6.9786
5291.0	17548.54	6.9784
5291.0	17574.89	6.9782
5291.0	17546.12	6.9780
5291.0	17550.05	6.9778
5291.0	17541.74	6.9776
5291.0	17516.82	6.9774
5291.0	17525.92	6.9772
5291.0	17523.29	6.9770
5291.0	17526.83	6.9768
5291.2	17529.07	6.9766
5291.2	17559.59	6.9764
5291.2	17536.81	6.9762
5291.2	17531.76	6.9760
5291.2	17537.37	6.9760
5291.2	17527.83	6.9760
5291.2	17526.81	6.9760
5291.2	17511.09	6.9760
5291.2	17528.41	6.9760
5291.2	17527.16	6.9760
5291.2	17539.59	6.9760
5291.2	17531.70	6.9760
5291.5	17508.39	6.9760
5291.5	17528.23	6.9760
5291.5	17545.55	6.9759
5291.5	17532.32	6.9759
5291.5	17513.92	6.9759
5291.5	17533.77	6.9759
5291.5	17515.26	6.9759
5291.5	17510.74	6.9759
5291.5	17512.79	6.9759
5291.5	17510.72	6.9759
5291.5	17520.16	6.9759
5291.7	17536.68	6.9759
5291.7	17529.79	6.9759
5291.7	17506.33	6.9759
5291.7	17511.77	6.9758
5291.7	17526.49	6.9758
5291.7	17519.91	6.9758
5291.7	17517.12	6.9758
5291.7	17527.88	6.9758
5291.7	17525.45	6.9758
5291.7	17527.80	6.9758
5291.7	17532.11	6.9758
5291.7	17536.43	6.9758
5292.0	17526.44	6.9758
5292.0	17527.95	6.9758
5292.0	17540.97	6.9758
5292.0	17537.32	6.9758
5292.0	17531.36	6.9758
5292.0	17557.91	6.9758
5292.0	17542.14	6.9758
5292.0	17557.79	6.9758
5292.0	17544.94	6.9758
5292.0	17553.47	6.9757
5292.0	17550.23	6.9757
5292.3	17549.65	6.9757
5292.3	17539.51	6.9757
5292.3	17546.63	6.9757
5292.3	17542.78	6.9756
5292.3	17552.30	6.9755
5292.3	17560.43	6.9754
5292.3	17560.47	6.9752
5292.3	17563.73	6.9751
5292.3	17541.89	6.9750
5292.3	17533.67	6.9749
5292.3	17538.67	6.9748
5292.3	17534.66	6.9746
5292.5	17546.09	6.9745
5292.5	17540.06	6.9741
5292.5	17543.14	6.9740
5292.5	17545.28	6.9739
5292.5	17518.73	6.9738
5292.5	17523.55	6.9737
5292.5	17554.25	6.9735
5292.5	17525.27	6.9734
5292.5	17521.26	6.9733
5292.5	17518.13	6.9732
5292.7	17538.12	6.9730
5292.7	17509.35	6.9727
5292.7	17509.61	6.9727
5292.7	17497.48	6.9726
5292.7	17505.12	6.9725
5292.7	17512.52	6.9725
5292.7	17506.70	6.9724
5292.7	17494.67	6.9723
5292.7	17506.43	6.9723
5293.0	17500.81	6.9721
5293.0	17506.72	6.9721
5293.0	17490.53	6.9720
5293.0	17495.96	6.9719
5293.0	17505.89	6.9719
5293.0	17492.16	6.9718
5293.0	17491.27	6.9717
5293.0	17516.14	6.9716
5293.0	17512.81	6.9716
5293.0	17509.82	6.9715
5293.0	17490.84	6.9714
5293.0	17514.01	6.9713
5293.3	17486.65	6.9712
5293.3	17494.62	6.9712
5293.3	17504.22	6.9712
5293.3	17506.76	6.9712
5293.3	17503.71	6.9712
5293.3	17497.53	6.9713
5293.3	17489.17	6.9713
5293.3	17510.87	6.9713
5293.3	17490.44	6.9713
5293.3	17484.11	6.9714
5293.3	17476.83	6.9714
5293.3	17497.34	6.9714
5293.5	17482.73	6.9714
5293.5	17483.52	6.9714
5293.5	17480.52	6.9715
5293.5	17497.98	6.9715
5293.5	17490.00	6.9715
5293.5	17492.61	6.9715
5293.5	17509.35	6.9716
5293.5	17497.59	6.9716
5293.5	17473.55	6.9716
5293.5	17507.51	6.9716
5293.5	17489.18	6.9717
5293.5	17493.52	6.9717
5293.8	17503.58	6.9717
5293.8	17504.95	6.9717
5293.8	17518.45	6.9717
5293.8	17507.61	6.9717
5293.8	17503.51	6.9716
5293.8	17507.56	6.9716
5293.8	17518.38	6.9716
5293.8	17497.65	6.9716
5293.8	17508.35	6.9715
5293.8	17511.62	6.9715
5294.0	17517.15	6.9715
5294.0	17523.89	6.9714
5294.0	17532.81	6.9714
5294.0	17539.22	6.9714
5294.0	17542.36	6.9713
5294.0	17526.56	6.9713
5294.0	17523.40	6.9713
5294.0	17513.91	6.9713
5294.0	17529.27	6.9712
5294.0	17520.56	6.9712
5294.0	17525.43	6.9712
5294.0	17515.94	6.9712
5294.2	17509.40	6.9711
5294.2	17513.79	6.9711
5294.2	17528.76	6.9710
5294.2	17521.41	6.9709
5294.2	17528.62	6.9708
5294.2	17523.59	6.9708
5294.2	17499.21	6.9707
5294.2	17523.55	6.9706
5294.2	17521.91	6.9705
5294.2	17511.30	6.9705
5294.2	17518.98	6.9704
5294.2	17501.91	6.9703
5294.5	17510.30	6.9703
5294.5	17500.83	6.9702
5294.5	17505.47	6.9701
5294.5	17512.54	6.9700
5294.5	17503.82	6.9699
5294.5	17509.83	6.9698
5294.5	17497.91	6.9697
5294.5	17508.05	6.9697
5294.5	17515.66	6.9696
5294.5	17516.09	6.9694
5294.8	17499.21	6.9694
5294.8	17500.47	6.9693
5294.8	17497.26	6.9692
5294.8	17492.23	6.9692
5294.8	17497.30	6.9691
5294.8	17506.33	6.9691
5294.8	17482.66	6.9690
5294.8	17484.37	6.9689
5294.8	17498.13	6.9689
5294.8	17480.11	6.9688
5294.8	17493.27	6.9688
5294.8	17495.38	6.9687
5295.0	17502.41	6.9686
5295.0	17497.13	6.9685
5295.0	17492.80	6.9685
5295.0	17502.28	6.9684
5295.0	17483.07	6.9684
5295.0	17489.30	6.9683
5295.0	17482.33	6.9682
5295.0	17485.00	6.9682
5295.0	17473.51	6.9681
5295.0	17479.20	6.9681
5295.0	17471.58	6.9680
5295.3	17486.61	6.9679
5295.3	17480.79	6.9680
5295.3	17501.42	6.9680
5295.3	17482.04	6.9680
5295.3	17468.38	6.9680
5295.3	17499.90	6.9680
5295.3	17478.21	6.9680
5295.3	17496.07	6.9680
5295.3	17483.78	6.9680
5295.3	17498.96	6.9680
5295.3	17517.03	6.9680
5295.3	17503.09	6.9680
5295.3	17504.15	6.9680
5295.5	17518.95	6.9680
5295.5	17505.26	6.9680
5295.5	17483.70	6.9680
5295.5	17500.14	6.9681
5295.5	17485.70	6.9681
5295.5	17492.52	6.9681
5295.5	17500.15	6.9681
5295.5	17496.68	6.9681
5295.5	17511.95	6.9681
5295.5	17492.23	6.9681
5295.5	17496.67	6.9681
5295.5	17508.58	6.9681
5295.7	17501.29	6.9681
5295.7	17500.12	6.9681
5295.7	17503.52	6.9682
5295.7	17502.97	6.9682
5295.7	17509.62	6.9682
5295.7	17490.12	6.9682
5295.7	17497.75	6.9682
5295.7	17523.30	6.9683
5295.7	17518.01	6.9683
5295.7	17490.61	6.9683
5296.0	17513.75	6.9683
5296.0	17488.57	6.9683
5296.0	17507.59	6.9684
5296.0	17504.45	6.9684
